SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Average/ Percentage,Course Name,Basic Course,Numeric_Rating,Feedback_Text,Sentiment_Score,Sentiment_Type
10,7,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,5,1,4.00 / 80.00,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.0,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,7,20,Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,2,4,4.43 / 88.57,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.43,Excellent work on Your mentor does a necessary follow-up with an assigned task to you.. Very satisfied.,0.5499999999999999,Positive
12,7,20,The teachers illustrate the concepts through examples and applications.,0,0,1,1,5,4.57 / 91.43,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.57,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,7,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,2,1,1,3,3.71 / 74.29,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.71,"The college is okay with The teachers identify your strengths and encourage you to provide the proper level of challenges., but needs improvement.",0.25,Positive
14,7,20,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,2,3,2,4.00 / 80.00,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.0,Excellent work on Teachers are able to identify your weaknesses and help you to overcome them.. Very satisfied.,0.7166666666666667,Positive
15,7,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,3,3,4.29 / 85.71,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.29,"Excellent work on The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.. Very satisfied.",0.825,Positive
16,7,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,4,3,4.43 / 88.57,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.43,"Excellent work on The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.. Very satisfied.",0.5499999999999999,Positive
17,7,20,Teachers encourage you to participate in extracurricular activities.,1,1,0,3,2,3.57 / 71.43,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.57,"The college is okay with Teachers encourage you to participate in extracurricular activities., but needs improvement.",0.5,Positive
18,7,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,6,1,4.14 / 82.86,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.14,"Excellent work on Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.. Very satisfied.",0.48750000000000004,Positive
19,7,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,3,4,4.57 / 91.43,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.57,"Excellent work on What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?. Very satisfied.",0.5499999999999999,Positive
20,7,20,The overall quality of the teaching-learning process in your institute is very good.,0,0,1,5,1,4.00 / 80.00,M.SC PART - 2 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.0,Excellent work on The overall quality of the teaching-learning process in your institute is very good.. Very satisfied.,0.64,Positive
1,3,14,How much of the syllabus was covered in the class?,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.67,"The college is okay with How much of the syllabus was covered in the class?, but needs improvement.",0.35,Positive
2,3,14,How well did the teachers prepare for the classes?,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.67,"The college is okay with How well did the teachers prepare for the classes?, but needs improvement.",0.5,Positive
3,3,14,How well were the teachers able to communicate?,0,0,3,0,0,3.00 / 60.00,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.0,"The college is okay with How well were the teachers able to communicate?, but needs improvement.",0.5,Positive
4,3,14,The teachers approach to teaching can best be described as,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,2.67,Unsatisfied with The teachers approach to teaching can best be described as. Action needed immediately.,0.55,Positive
5,3,14,Fairness of the internal evaluation process by the teachers.,0,0,0,3,0,4.00 / 80.00,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,4.0,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,3,14,Was your performance in assignments discussed with you?,0,0,0,3,0,4.00 / 80.00,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,4.0,Excellent work on Was your performance in assignments discussed with you?. Very satisfied.,0.825,Positive
7,3,14,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,1,1,0,0,2.00 / 40.00,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,2.0,"Unsatisfied with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.. Action needed immediately.",-0.016666666666666663,Neutral
8,3,14,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,2,1,0,3.33 / 66.67,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.33,"The college is okay with The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth., but needs improvement.",0.17777777777777778,Positive
9,3,14,The institution provides multiple opportunities to learn and grow.,0,0,2,1,0,3.33 / 66.67,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.33,"The college is okay with The institution provides multiple opportunities to learn and grow., but needs improvement.",0.25,Positive
10,3,14,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,3,0,4.00 / 80.00,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,4.0,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,3,14,Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.67,"The college is okay with Your mentor does a necessary follow-up with an assigned task to you., but needs improvement.",0.25,Positive
12,3,14,The teachers illustrate the concepts through examples and applications.,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.67,"The college is okay with The teachers illustrate the concepts through examples and applications., but needs improvement.",0.5,Positive
13,3,14,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,3,0,0,0,2.00 / 40.00,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,2.0,Unsatisfied with The teachers identify your strengths and encourage you to provide the proper level of challenges.. Action needed immediately.,0.05,Neutral
14,3,14,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.0,"The college is okay with Teachers are able to identify your weaknesses and help you to overcome them., but needs improvement.",0.5,Positive
15,3,14,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,2,1,0,3.33 / 66.67,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.33,"The college is okay with The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process., but needs improvement.",0.5,Positive
16,3,14,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.67,"The college is okay with The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences., but needs improvement.",0.25,Positive
17,3,14,Teachers encourage you to participate in extracurricular activities.,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.67,"The college is okay with Teachers encourage you to participate in extracurricular activities., but needs improvement.",0.5,Positive
18,3,14,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.0,"The college is okay with Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work., but needs improvement.",0.26666666666666666,Positive
19,3,14,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,2,1,4.33 / 86.67,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,4.33,"Excellent work on What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?. Very satisfied.",0.5499999999999999,Positive
20,3,14,The overall quality of the teaching-learning process in your institute is very good.,0,0,2,1,0,3.33 / 66.67,MSC DATA SCIENCE - 3,MSC DATA SCIENCE,3.33,"The college is okay with The overall quality of the teaching-learning process in your institute is very good., but needs improvement.",0.47,Positive
1,6,20,How much of the syllabus was covered in the class?,0,0,1,0,5,4.67 / 93.33,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.67,Excellent work on How much of the syllabus was covered in the class?. Very satisfied.,0.6166666666666667,Positive
2,6,20,How well did the teachers prepare for the classes?,0,0,0,3,3,4.50 / 90.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.5,Excellent work on How well did the teachers prepare for the classes?. Very satisfied.,0.825,Positive
3,6,20,How well were the teachers able to communicate?,0,1,1,0,4,4.17 / 83.33,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.17,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,6,20,The teachers approach to teaching can best be described as,0,0,2,1,3,4.17 / 83.33,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.17,Excellent work on The teachers approach to teaching can best be described as. Very satisfied.,0.8833333333333333,Positive
5,6,20,Fairness of the internal evaluation process by the teachers.,0,0,1,1,4,4.50 / 90.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.5,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,6,20,Was your performance in assignments discussed with you?,0,1,0,3,2,4.00 / 80.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.0,Excellent work on Was your performance in assignments discussed with you?. Very satisfied.,0.825,Positive
7,6,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,0,2,1,2,3.50 / 70.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,3.5,"The college is okay with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students., but needs improvement.",0.18333333333333335,Positive
8,6,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",2,1,0,1,2,3.00 / 60.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,3.0,"The college is okay with The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth., but needs improvement.",0.17777777777777778,Positive
9,6,20,The institution provides multiple opportunities to learn and grow.,0,0,1,3,2,4.17 / 83.33,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.17,Excellent work on The institution provides multiple opportunities to learn and grow.. Very satisfied.,0.5499999999999999,Positive
10,6,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,3,3,4.50 / 90.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.5,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,6,20,Your mentor does a necessary follow-up with an assigned task to you.,1,0,1,3,1,3.50 / 70.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,3.5,"The college is okay with Your mentor does a necessary follow-up with an assigned task to you., but needs improvement.",0.25,Positive
12,6,20,The teachers illustrate the concepts through examples and applications.,0,0,0,3,3,4.50 / 90.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.5,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,6,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,2,4,4.67 / 93.33,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.67,Excellent work on The teachers identify your strengths and encourage you to provide the proper level of challenges.. Very satisfied.,0.5499999999999999,Positive
14,6,20,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,2,1,3,4.17 / 83.33,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.17,Excellent work on Teachers are able to identify your weaknesses and help you to overcome them.. Very satisfied.,0.7166666666666667,Positive
15,6,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,4,2,4.33 / 86.67,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.33,"Excellent work on The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.. Very satisfied.",0.825,Positive
16,6,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,3,2,4.17 / 83.33,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.17,"Excellent work on The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.. Very satisfied.",0.5499999999999999,Positive
17,6,20,Teachers encourage you to participate in extracurricular activities.,0,0,0,4,2,4.33 / 86.67,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.33,Excellent work on Teachers encourage you to participate in extracurricular activities.. Very satisfied.,0.825,Positive
18,6,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,1,4,4.50 / 90.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.5,"Excellent work on Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.. Very satisfied.",0.48750000000000004,Positive
19,6,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,3,3,4.50 / 90.00,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.5,"Excellent work on What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?. Very satisfied.",0.5499999999999999,Positive
20,6,20,The overall quality of the teaching-learning process in your institute is very good.,0,0,1,2,3,4.33 / 86.67,MSC INFORMATION TECHNOLOGY - 3,MSC INFORMATION TECHNOLOGY,4.33,Excellent work on The overall quality of the teaching-learning process in your institute is very good.. Very satisfied.,0.64,Positive
1,14,24,How much of the syllabus was covered in the class?,1,3,4,3,3,3.29 / 65.71,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.29,"The college is okay with How much of the syllabus was covered in the class?, but needs improvement.",0.35,Positive
2,14,24,How well did the teachers prepare for the classes?,0,2,3,6,3,3.71 / 74.29,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.71,"The college is okay with How well did the teachers prepare for the classes?, but needs improvement.",0.5,Positive
3,14,24,How well were the teachers able to communicate?,0,1,2,7,4,4.00 / 80.00,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,4.0,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,14,24,The teachers approach to teaching can best be described as,0,3,4,4,3,3.50 / 70.00,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.5,"The college is okay with The teachers approach to teaching can best be described as, but needs improvement.",0.75,Positive
5,14,24,Fairness of the internal evaluation process by the teachers.,0,0,3,6,5,4.14 / 82.86,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,4.14,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,14,24,Was your performance in assignments discussed with you?,1,0,5,5,3,3.64 / 72.86,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.64,"The college is okay with Was your performance in assignments discussed with you?, but needs improvement.",0.5,Positive
7,14,24,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,2,4,4,4,3.71 / 74.29,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.71,"The college is okay with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students., but needs improvement.",0.18333333333333335,Positive
8,14,24,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,7,5,1,3.43 / 68.57,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.43,"The college is okay with The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth., but needs improvement.",0.17777777777777778,Positive
9,14,24,The institution provides multiple opportunities to learn and grow.,0,1,8,2,3,3.50 / 70.00,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.5,"The college is okay with The institution provides multiple opportunities to learn and grow., but needs improvement.",0.25,Positive
10,14,24,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,3,4,3,4,3.57 / 71.43,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.57,"The college is okay with Teachers inform you about your expected competencies, course outcomes and program
outcomes., but needs improvement.",0.2,Positive
11,14,24,Your mentor does a necessary follow-up with an assigned task to you.,0,0,4,5,5,4.07 / 81.43,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,4.07,Excellent work on Your mentor does a necessary follow-up with an assigned task to you.. Very satisfied.,0.5499999999999999,Positive
12,14,24,The teachers illustrate the concepts through examples and applications.,1,1,3,4,5,3.79 / 75.71,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.79,"The college is okay with The teachers illustrate the concepts through examples and applications., but needs improvement.",0.5,Positive
13,14,24,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,2,5,3,4,3.64 / 72.86,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.64,"The college is okay with The teachers identify your strengths and encourage you to provide the proper level of challenges., but needs improvement.",0.25,Positive
14,14,24,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,5,4,4,3.79 / 75.71,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.79,"The college is okay with Teachers are able to identify your weaknesses and help you to overcome them., but needs improvement.",0.5,Positive
15,14,24,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,7,4,3,3.71 / 74.29,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.71,"The college is okay with The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process., but needs improvement.",0.5,Positive
16,14,24,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,4,5,4,3.86 / 77.14,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.86,"The college is okay with The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences., but needs improvement.",0.25,Positive
17,14,24,Teachers encourage you to participate in extracurricular activities.,0,1,7,3,3,3.57 / 71.43,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.57,"The college is okay with Teachers encourage you to participate in extracurricular activities., but needs improvement.",0.5,Positive
18,14,24,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,2,3,5,4,3.79 / 75.71,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.79,"The college is okay with Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work., but needs improvement.",0.26666666666666666,Positive
19,14,24,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",1,0,6,5,2,3.50 / 70.00,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.5,"The college is okay with What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?, but needs improvement.",0.25,Positive
20,14,24,The overall quality of the teaching-learning process in your institute is very good.,0,1,7,2,4,3.64 / 72.86,MSC MICROBIOLOGY - 3,MSC MICROBIOLOGY,3.64,"The college is okay with The overall quality of the teaching-learning process in your institute is very good., but needs improvement.",0.47,Positive
1,17,22,How much of the syllabus was covered in the class?,1,1,1,6,8,4.12 / 82.35,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,4.12,Excellent work on How much of the syllabus was covered in the class?. Very satisfied.,0.6166666666666667,Positive
2,17,22,How well did the teachers prepare for the classes?,0,1,1,9,6,4.18 / 83.53,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,4.18,Excellent work on How well did the teachers prepare for the classes?. Very satisfied.,0.825,Positive
3,17,22,How well were the teachers able to communicate?,0,0,4,8,5,4.06 / 81.18,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,4.06,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,17,22,The teachers approach to teaching can best be described as,1,0,3,9,4,3.88 / 77.65,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.88,"The college is okay with The teachers approach to teaching can best be described as, but needs improvement.",0.75,Positive
5,17,22,Fairness of the internal evaluation process by the teachers.,0,0,1,8,8,4.41 / 88.24,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,4.41,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,17,22,Was your performance in assignments discussed with you?,2,1,3,4,7,3.76 / 75.29,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.76,"The college is okay with Was your performance in assignments discussed with you?, but needs improvement.",0.5,Positive
7,17,22,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,0,2,10,4,3.94 / 78.82,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.94,"The college is okay with The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students., but needs improvement.",0.18333333333333335,Positive
8,17,22,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,2,1,7,6,3.88 / 77.65,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.88,"The college is okay with The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth., but needs improvement.",0.17777777777777778,Positive
9,17,22,The institution provides multiple opportunities to learn and grow.,1,0,3,7,6,4.00 / 80.00,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,4.0,Excellent work on The institution provides multiple opportunities to learn and grow.. Very satisfied.,0.5499999999999999,Positive
10,17,22,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,8,8,4.41 / 88.24,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,4.41,"Excellent work on Teachers inform you about your expected competencies, course outcomes and program
outcomes.. Very satisfied.",0.5166666666666667,Positive
11,17,22,Your mentor does a necessary follow-up with an assigned task to you.,1,2,3,5,6,3.76 / 75.29,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.76,"The college is okay with Your mentor does a necessary follow-up with an assigned task to you., but needs improvement.",0.25,Positive
12,17,22,The teachers illustrate the concepts through examples and applications.,1,0,1,7,8,4.24 / 84.71,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,4.24,Excellent work on The teachers illustrate the concepts through examples and applications.. Very satisfied.,0.825,Positive
13,17,22,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,1,6,7,3.88 / 77.65,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.88,"The college is okay with The teachers identify your strengths and encourage you to provide the proper level of challenges., but needs improvement.",0.25,Positive
14,17,22,Teachers are able to identify your weaknesses and help you to overcome them.,1,2,3,5,6,3.76 / 75.29,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.76,"The college is okay with Teachers are able to identify your weaknesses and help you to overcome them., but needs improvement.",0.5,Positive
15,17,22,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,2,2,8,5,3.94 / 78.82,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.94,"The college is okay with The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process., but needs improvement.",0.5,Positive
16,17,22,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",1,0,3,8,5,3.94 / 78.82,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.94,"The college is okay with The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences., but needs improvement.",0.25,Positive
17,17,22,Teachers encourage you to participate in extracurricular activities.,0,1,4,7,5,3.94 / 78.82,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.94,"The college is okay with Teachers encourage you to participate in extracurricular activities., but needs improvement.",0.5,Positive
18,17,22,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,3,8,5,4.00 / 80.00,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,4.0,"Excellent work on Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.. Very satisfied.",0.48750000000000004,Positive
19,17,22,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",1,3,4,7,2,3.35 / 67.06,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,3.35,"The college is okay with What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?, but needs improvement.",0.25,Positive
20,17,22,The overall quality of the teaching-learning process in your institute is very good.,0,0,4,9,4,4.00 / 80.00,MSC ORGANIC CHEMISTRY - 3,MSC ORGANIC CHEMISTRY,4.0,Excellent work on The overall quality of the teaching-learning process in your institute is very good.. Very satisfied.,0.64,Positive
1,2,18,How much of the syllabus was covered in the class?,0,1,0,1,0,3.00 / 60.00,MSC PHYSICS - 3,MSC PHYSICS,3.0,"The college is okay with How much of the syllabus was covered in the class?, but needs improvement.",0.35,Positive
2,2,18,How well did the teachers prepare for the classes?,0,0,0,1,1,4.50 / 90.00,MSC PHYSICS - 3,MSC PHYSICS,4.5,Excellent work on How well did the teachers prepare for the classes?. Very satisfied.,0.825,Positive
3,2,18,How well were the teachers able to communicate?,0,0,0,1,1,4.50 / 90.00,MSC PHYSICS - 3,MSC PHYSICS,4.5,Excellent work on How well were the teachers able to communicate?. Very satisfied.,0.7166666666666667,Positive
4,2,18,The teachers approach to teaching can best be described as,0,1,0,0,1,3.50 / 70.00,MSC PHYSICS - 3,MSC PHYSICS,3.5,"The college is okay with The teachers approach to teaching can best be described as, but needs improvement.",0.75,Positive
5,2,18,Fairness of the internal evaluation process by the teachers.,0,0,0,1,1,4.50 / 90.00,MSC PHYSICS - 3,MSC PHYSICS,4.5,Excellent work on Fairness of the internal evaluation process by the teachers.. Very satisfied.,0.5499999999999999,Positive
6,2,18,Was your performance in assignments discussed with you?,0,1,0,1,0,3.00 / 60.00,MSC PHYSICS - 3,MSC PHYSICS,3.0,"The college is okay with Was your performance in assignments discussed with you?, but needs improvement.",0.5,Positive
